Vanusegrupp,Kõik vähid va melanoom,Kusepõis,CNS,Sool,Sapipõis,Hodgkin's lümfoom,Kaposi sarkoom,Neer,Hingetoru,Leukeemia,Suuõõs,Maks,Kops,Melanoom,Multimüeloom,Ninaneel,Non-Hodgkin lümfoom,Söögitoru,Kurk,Kõhunääre,Magu,Kilpnääre
14,3.9,0,0.9,0,0,0.1,0,0.3,0,1.3,0,0.1,0,0,0,0,0.2,0,0,0,0,0
39,11.6,0.1,1.3,0.6,0,0.4,0,0.2,0,1.1,0.1,0.3,0.7,0.4,0,0.1,0.6,0.1,0.1,0.3,0.6,0
44,49.1,0.5,3.4,2.9,0.2,0.5,0,1.2,0.6,1.5,1.2,1.3,7,1.4,0.3,0.2,1.3,1,0.9,1.8,3.6,0.2
49,100,1.1,5.3,7.3,0.6,0.6,0,2.6,1.8,2.3,2.4,2.9,20.6,2,0.8,0.4,1.9,2.8,2.3,4.6,7,0.3
54,184.1,2.7,7.6,14.9,1.3,0.7,0,5.2,3.7,3.9,4.3,6,44,2.8,1.6,0.5,3.1,5.8,4.2,9.5,12.6,0.6
59,307.4,5.6,10.5,27.4,2.5,0.8,0,8.7,6.1,6.4,6.5,10.2,78.2,4,3.1,0.7,5.1,9.7,6.2,16.9,20.6,1
64,450.9,10.2,13.1,45.5,4.4,1,0,12.5,7.7,10.5,7.7,16.1,115.8,5.3,5.3,0.8,8,13.6,7,26.7,29.7,1.5
69,616.2,16.3,15.7,69.1,6.8,1.3,0.1,16.8,8.2,16.3,8,23.7,151,6.9,8.5,0.8,12.5,16.8,6.5,38.3,39.3,2.4
74,815.7,24.9,17.1,102.5,10.1,1.6,0.1,22.8,8.5,23.7,8.2,32.3,179.8,8.4,12.1,0.8,17.9,19.4,5.9,51.2,56.5,3.4
75,1258.7,53.6,18,181.1,18.3,2.1,0.5,34.3,8.4,43.4,10.7,45.6,198.8,12.8,20.8,0.7,30.6,24.4,4.7,74.2,80.1,5.3
